calibrant,fluorophore,media,concentration,replicate,well
fluorescein,GFP,PBS,7.53E+14,1,A1
fluorescein,GFP,PBS,3.7650E+14,1,A2
fluorescein,GFP,PBS,1.8825E+14,1,A3
fluorescein,GFP,PBS,9.4125E+13,1,A4
fluorescein,GFP,PBS,4.70625E+13,1,A5
fluorescein,GFP,PBS,2.35313E+13,1,A6
fluorescein,GFP,PBS,1.17656E+13,1,A7
fluorescein,GFP,PBS,5.88281E+12,1,A8
fluorescein,GFP,PBS,2.94141E+12,1,A9
fluorescein,GFP,PBS,1.4707E+12,1,A10
fluorescein,GFP,PBS,7.35352E+11,1,A11
fluorescein,GFP,PBS,0,1,A12
fluorescein,GFP,PBS,7.53E+14,2,B1
fluorescein,GFP,PBS,3.7650E+14,2,B2
fluorescein,GFP,PBS,1.8825E+14,2,B3
fluorescein,GFP,PBS,9.4125E+13,2,B4
fluorescein,GFP,PBS,4.70625E+13,2,B5
fluorescein,GFP,PBS,2.35313E+13,2,B6
fluorescein,GFP,PBS,1.17656E+13,2,B7
fluorescein,GFP,PBS,5.88281E+12,2,B8
fluorescein,GFP,PBS,2.94141E+12,2,B9
fluorescein,GFP,PBS,1.4707E+12,2,B10
fluorescein,GFP,PBS,7.35352E+11,2,B11
fluorescein,GFP,PBS,0,2,B12
fluorescein,GFP,PBS,7.53E+14,3,C1
fluorescein,GFP,PBS,3.7650E+14,3,C2
fluorescein,GFP,PBS,1.8825E+14,3,C3
fluorescein,GFP,PBS,9.4125E+13,3,C4
fluorescein,GFP,PBS,4.70625E+13,3,C5
fluorescein,GFP,PBS,2.35313E+13,3,C6
fluorescein,GFP,PBS,1.17656E+13,3,C7
fluorescein,GFP,PBS,5.88281E+12,3,C8
fluorescein,GFP,PBS,2.94141E+12,3,C9
fluorescein,GFP,PBS,1.4707E+12,3,C10
fluorescein,GFP,PBS,7.35352E+11,3,C11
fluorescein,GFP,PBS,0,3,C12
fluorescein,GFP,PBS,7.53E+14,4,D1
fluorescein,GFP,PBS,3.7650E+14,4,D2
fluorescein,GFP,PBS,1.8825E+14,4,D3
fluorescein,GFP,PBS,9.4125E+13,4,D4
fluorescein,GFP,PBS,4.70625E+13,4,D5
fluorescein,GFP,PBS,2.35313E+13,4,D6
fluorescein,GFP,PBS,1.17656E+13,4,D7
fluorescein,GFP,PBS,5.88281E+12,4,D8
fluorescein,GFP,PBS,2.94141E+12,4,D9
fluorescein,GFP,PBS,1.4707E+12,4,D10
fluorescein,GFP,PBS,7.35352E+11,4,D11
fluorescein,GFP,PBS,0,4,D12
microspheres,,ddH20,4984615385.0,1,E1
microspheres,,ddH20,2990769231.0,1,E2
microspheres,,ddH20,1794461538.6,1,E3
microspheres,,ddH20,1076676923.16,1,E4
microspheres,,ddH20,646006153.8960,1,E5
microspheres,,ddH20,387603692.3376,1,E6
microspheres,,ddH20,232562215.40256,1,E7
microspheres,,ddH20,139537329.241536,1,E8
microspheres,,ddH20,83722397.5449216,1,E9
microspheres,,ddH20,50233438.526953,1,E10
microspheres,,ddH20,30140063.1161718,1,E11
microspheres,,ddH20,0,1,E12
microspheres,,ddH20,4984615385.0,2,F1
microspheres,,ddH20,2990769231.0,2,F2
microspheres,,ddH20,1794461538.6,2,F3
microspheres,,ddH20,1076676923.16,2,F4
microspheres,,ddH20,646006153.8960,2,F5
microspheres,,ddH20,387603692.3376,2,F6
microspheres,,ddH20,232562215.40256,2,F7
microspheres,,ddH20,139537329.241536,2,F8
microspheres,,ddH20,83722397.5449216,2,F9
microspheres,,ddH20,50233438.526953,2,F10
microspheres,,ddH20,30140063.1161718,2,F11
microspheres,,ddH20,0,2,F12
microspheres,,ddH20,4984615385.0,3,G1
microspheres,,ddH20,2990769231.0,3,G2
microspheres,,ddH20,1794461538.6,3,G3
microspheres,,ddH20,1076676923.16,3,G4
microspheres,,ddH20,646006153.8960,3,G5
microspheres,,ddH20,387603692.3376,3,G6
microspheres,,ddH20,232562215.40256,3,G7
microspheres,,ddH20,139537329.241536,3,G8
microspheres,,ddH20,83722397.5449216,3,G9
microspheres,,ddH20,50233438.526953,3,G10
microspheres,,ddH20,30140063.1161718,3,G11
microspheres,,ddH20,0,3,G12
microspheres,,ddH20,4984615385.0,4,H1
microspheres,,ddH20,2990769231.0,4,H2
microspheres,,ddH20,1794461538.6,4,H3
microspheres,,ddH20,1076676923.16,4,H4
microspheres,,ddH20,646006153.8960,4,H5
microspheres,,ddH20,387603692.3376,4,H6
microspheres,,ddH20,232562215.40256,4,H7
microspheres,,ddH20,139537329.241536,4,H8
microspheres,,ddH20,83722397.5449216,4,H9
microspheres,,ddH20,50233438.526953,4,H10
microspheres,,ddH20,30140063.1161718,4,H11
microspheres,,ddH20,0,4,H12
